,0
2021-09-15,0.0
2021-09-16,0.0
2021-09-17,0.0
2021-09-20,-1.9746993211686772
2021-09-21,-0.8812878124995871
2021-09-22,-0.04915607979460779
2021-09-23,1.1105144879047484
2021-09-24,0.32430874334475746
2021-09-27,-0.9609733175927001
2021-09-28,-2.4797812874805305
2021-09-29,-1.900756405416554
2021-09-30,-1.4818930900729397
2021-10-01,-1.3637675923160262
2021-10-04,0.8668248610021312
2021-10-05,1.3608448429173912
2021-10-06,0.0903546733150149
2021-10-07,1.5260954649803893
2021-10-08,2.441857959480206
2021-10-11,2.6230619851525137
2021-10-12,2.7672094205059743
2021-10-13,4.411916296901367
2021-10-14,5.940248922980376
2021-10-18,7.002284417542008
2021-10-19,6.953803866622826
2021-10-20,4.393976812815625
2021-10-21,2.5884868290880307
2021-10-22,1.3209609153815278
2021-10-25,-0.258137649361293
2021-10-26,1.2813724271904159
2021-10-27,1.5813312722614585
2021-10-28,-0.5333602331568603
2021-10-29,-1.407293440652855
2021-11-01,0.7725079390778096
2021-11-02,0.7982901845640129
2021-11-03,0.4850087168533707
2021-11-04,1.116209068212321
2021-11-08,2.530402125985984
2021-11-09,3.3760388277410978
2021-11-10,3.0055663135578348
2021-11-11,2.3804609715579397
2021-11-12,3.3376590763833662
2021-11-15,3.668208219209949
2021-11-16,4.026247439392856
2021-11-17,4.669587935283623
2021-11-18,2.966188547571533
2021-11-22,0.5437655063552023
2021-11-23,2.3225419029902223
2021-11-24,1.0858076405830999
2021-11-25,1.7083985076503123
2021-11-26,-1.4209561307200462
2021-11-29,-2.216428303323516
2021-11-30,-1.7687225745540083
2021-12-01,-0.365216230266852
2021-12-02,0.7904385485458807
2021-12-03,0.5062915970600117
2021-12-06,-1.5182080898478247
2021-12-07,0.0739004779770982
2021-12-08,1.9983427883127132
2021-12-09,2.696681955895616
2021-12-10,3.591462926628255
2021-12-13,4.091399379272472
2021-12-14,3.948747432649323
2021-12-15,2.8678460832640784
2021-12-16,3.316191633070013
2021-12-17,1.3133877383195176
2021-12-20,-2.2437745292345066
2021-12-21,-0.06640738252265344
2021-12-22,2.178583243305302
2021-12-23,3.195754571197769
2021-12-24,2.6233716449102564
2021-12-27,3.0880600073936364
2021-12-28,4.331461666837462
2021-12-29,4.313512443753717
2021-12-30,4.173649388801486
2021-12-31,5.473500335731015
2022-01-03,6.533969240987139
2022-01-04,6.981522459965925
2022-01-05,6.1476779716001
2022-01-06,6.274987311257268
2022-01-07,6.451351753789456
2022-01-10,7.067136452494661
2022-01-11,5.948147196089902
2022-01-12,7.201914336124243
2022-01-13,8.0688545783161
2022-01-14,8.352562184716222
2022-01-17,8.076578144701406
2022-01-18,6.048081120832769
2022-01-19,5.954507836359037
2022-01-20,5.670540129521813
2022-01-21,3.2943804139372346
2022-01-24,-0.7635421029531506
2022-01-25,0.7459700524550206
2022-01-27,-1.3195771581480886
2022-01-28,-0.4652222218327511
2022-01-31,0.5877606495622927
2022-02-01,2.1696167399083746
2022-02-02,2.3024813487729996
2022-02-03,1.7684684159898572
2022-02-04,1.4457692669676159
2022-02-07,0.1167501985259447
2022-02-08,-0.3841831261805626
2022-02-09,1.637627383705397
2022-02-10,1.8686137386486594
2022-02-11,-0.4071643913594354
2022-02-14,-4.5264111372843665
2022-02-15,-1.061946016219399
2022-02-16,-1.8152146600830599
2022-02-17,-2.299319938041046
2022-02-18,-3.0545042371915208
2022-02-21,-4.456405945484583
2022-02-22,-4.896516875119007
2022-02-23,-4.449481114434138
2022-02-24,-10.357988054752761
2022-02-25,-5.361966632617875
2022-02-28,-4.261834629656798
2022-03-02,-3.690224566606134
2022-03-03,-3.903094285999754
2022-03-04,-7.3526799918490635
2022-03-07,-7.370342618329959
2022-03-08,-7.033320821846346
2022-03-09,-5.640072689401393
2022-03-10,-4.868470488816847
2022-03-11,-2.690762654861328
2022-03-14,-2.1186188521347256
2022-03-15,-5.320695885973947
2022-03-16,-3.1653610217016857
2022-03-17,-2.0782791388659123
2022-03-21,-1.337481518224981
2022-03-22,-0.5972265689986428
2022-03-23,-0.35175116852842325
2022-03-24,0.9492454413071642
2022-03-25,0.2638199881579545
2022-03-28,1.1594484249218389
2022-03-29,1.136434306658383
2022-03-30,0.5857644261664422
2022-03-31,1.2328144871073614
2022-04-01,2.188091640687532
2022-04-04,3.9027716770633893
2022-04-05,4.66607669215389
2022-04-06,5.502779432186476
2022-04-07,4.3579022728852985
2022-04-08,5.540971241291768
2022-04-11,5.556825264616603
2022-04-12,3.702372956604892
2022-04-13,3.818221661102166
2022-04-18,3.737931298585561
2022-04-19,2.3717641824058644
2022-04-20,2.290654073000403
2022-04-21,3.312400829180359
2022-04-22,1.6437779429699888
2022-04-25,-1.6172764071482044
2022-04-26,0.383654747589385
2022-04-27,-0.29299038526218846
2022-04-28,0.2509802823558359
2022-04-29,-0.9797581023606535
2022-05-02,-0.32994982336300394
2022-05-04,-2.2342524236650223
2022-05-05,-2.318133605096488
2022-05-06,-4.768859775060217
2022-05-09,-6.906543144113008
2022-05-10,-8.79317001949098
2022-05-11,-9.341984533723817
2022-05-12,-11.88811426329707
2022-05-13,-12.001108764695354
2022-05-16,-4.1296926237801435
2022-05-17,15.826090662506513
2022-05-18,15.403451539196922
2022-05-19,-5.187830374473499
2022-05-20,11.668373264349057
2022-05-23,12.020242513571212
2022-05-24,11.281370849110672
2022-05-25,9.88436796806308
2022-05-26,10.564456865909213
2022-05-27,11.661439837903792
2022-05-30,13.466079353215834
2022-05-31,13.936730483247146
2022-06-01,13.979182772473525
