,0
2021-09-15,1.254801337756624
2021-09-16,1.269346314161497
2021-09-17,0.8884320913050021
2021-09-20,-0.9993006074440722
2021-09-21,0.20485172340750157
2021-09-22,2.191779288914019
2021-09-23,3.347522568549825
2021-09-24,3.4725937975022694
2021-09-27,2.1465509167818135
2021-09-28,0.49824500131752125
2021-09-29,1.417881805010002
2021-09-30,2.144454971392135
2021-10-01,1.6388636775656327
2021-10-04,3.158684524831501
2021-10-05,4.402480274222517
2021-10-06,3.420702756250513
2021-10-07,4.869079698817096
2021-10-08,5.673194241351015
2021-10-11,7.245287972395471
2021-10-12,8.149604130042025
2021-10-13,9.970736570141021
2021-10-14,10.519403939818982
2021-10-18,11.365744328015182
2021-10-19,8.334070345605063
2021-10-20,5.345614241328508
2021-10-21,4.067693627721134
2021-10-22,2.2067806105751075
2021-10-25,-0.26658852492833507
2021-10-26,2.22843481631561
2021-10-27,1.8336897806358503
2021-10-28,-0.7412715684987026
2021-10-29,-1.3477914266063977
2021-11-01,1.2689004275911628
2021-11-02,1.8782975813196603
2021-11-03,1.4349524617425913
2021-11-04,2.440124545819369
2021-11-08,3.569219552206991
2021-11-09,4.638697796946953
2021-11-10,3.826642075103206
2021-11-11,3.1530173955587992
2021-11-12,3.9402458034923096
2021-11-15,3.7792539672669823
2021-11-16,3.9548761026401116
2021-11-17,4.205051912764197
2021-11-18,2.01530687636807
2021-11-22,-1.0240148430312388
2021-11-23,0.4779344744132752
2021-11-24,-0.2155292823904591
2021-11-25,0.9997722138665162
2021-11-26,-2.923857478635449
2021-11-29,-3.9435779517650666
2021-11-30,-3.7633519144635184
2021-12-01,-2.1072384228550716
2021-12-02,-0.944988454443743
2021-12-03,-0.8999554379568661
2021-12-06,-2.693413795525521
2021-12-07,-1.8082269359151861
2021-12-08,-0.2747625677086445
2021-12-09,0.9475777102502556
2021-12-10,1.2440182420699306
2021-12-13,1.2402508936345231
2021-12-14,1.1496692886767936
2021-12-15,0.1582308081483863
2021-12-16,0.10013459338458722
2021-12-17,-2.7282563459184432
2021-12-20,-6.132716957652358
2021-12-21,-4.033999222845008
2021-12-22,-2.1166565777397324
2021-12-23,-1.4547242455405507
2021-12-24,-1.7978163279936146
2021-12-27,-0.9978433324075381
2021-12-28,-0.053688804748156405
2021-12-29,-0.047692677218287904
2021-12-30,0.05300208483199924
2021-12-31,1.0223047243918908
2022-01-03,2.1010970193029763
2022-01-04,2.2970766619388376
2022-01-05,1.3263284886452043
2022-01-06,1.219632770276607
2022-01-07,1.1761356363571462
2022-01-10,1.4692240506982885
2022-01-11,0.637217416891037
2022-01-12,1.6303615401243046
2022-01-13,2.161740176006193
2022-01-14,2.1555082305025817
2022-01-17,2.054052581407046
2022-01-18,-0.05797551274193902
2022-01-19,0.4029008392774442
2022-01-20,0.18736594265615822
2022-01-21,-2.249392031177231
2022-01-24,-6.209488981311656
2022-01-25,-4.65236622665334
2022-01-27,-5.738366466105127
2022-01-28,-4.684837020583581
2022-01-31,-3.649401525702248
2022-02-01,-2.373531643004913
2022-02-02,-2.253119246394608
2022-02-03,-2.4728064157327134
2022-02-04,-2.9301538162056247
2022-02-07,-3.5568003930839476
2022-02-08,-3.9687647002901207
2022-02-09,-2.3270837676112848
2022-02-10,-1.4796819867887563
2022-02-11,-3.231400161274351
2022-02-14,-7.649233456805947
2022-02-15,-4.127544740354589
2022-02-16,-4.917609861102476
2022-02-17,-5.389875641361453
2022-02-18,-6.219364273841772
2022-02-21,-7.3413877256998905
2022-02-22,-7.617932842509246
2022-02-23,-6.981087988668339
2022-02-24,-11.662851077369822
2022-02-25,-7.618865528138834
2022-02-28,-7.372967725411676
2022-03-02,-6.486509066915289
2022-03-03,-6.109688111196902
2022-03-04,-8.641447843530024
2022-03-07,-9.533323864243174
2022-03-08,-9.153659549068484
2022-03-09,-8.450961372507898
2022-03-10,-7.951210260365024
2022-03-11,-5.842593825724867
2022-03-14,-5.518234919296715
2022-03-15,-8.47605421881735
2022-03-16,-6.6938669621262346
2022-03-17,-5.196195326634795
2022-03-21,-3.5440983224804175
2022-03-22,-2.8384423011755175
2022-03-23,-2.8752358301303693
2022-03-24,-1.9742371102132288
2022-03-25,-2.3087229087180337
2022-03-28,-1.2002284259943903
2022-03-29,-0.8840208698197964
2022-03-30,-1.4625943037775213
2022-03-31,-1.146899175463154
2022-04-01,-1.0108511956764399
2022-04-04,0.15022782419225167
2022-04-05,0.6970924115834698
2022-04-06,2.3341808721161685
2022-04-07,0.5665627542569298
2022-04-08,1.6836021794970846
2022-04-11,1.5696954586857632
2022-04-12,-0.008312651571455332
2022-04-13,-0.05078255543888477
2022-04-18,0.023072142314401314
2022-04-19,-1.3839517085334019
2022-04-20,-1.7435011116401644
2022-04-21,-0.620423193622349
2022-04-22,-1.611732276196494
2022-04-25,-4.142864438019175
2022-04-26,-1.7817657563750582
2022-04-27,-2.7151742324453014
2022-04-28,-2.114924744278737
2022-04-29,-3.590236769789193
2022-05-02,-3.3725448807412395
2022-05-04,-5.242707429559809
2022-05-05,-5.298108352989261
2022-05-06,-7.248906284730221
2022-05-09,-8.968852978508274
2022-05-10,-10.308938567578307
2022-05-11,-11.194265154116886
2022-05-12,-12.913477347961981
2022-05-13,-13.16272379216436
2022-05-16,-11.634552038771712
2022-05-17,-9.285528858798934
2022-05-18,-9.962668298768529
2022-05-19,-11.501481951829174
2022-05-20,-9.484747953953505
2022-05-23,-9.138696111811262
2022-05-24,-9.621330567359102
2022-05-25,-11.110708802414248
2022-05-26,-10.864335403292998
